,name,type,count,amount,year,quarter,state,quarter_year
75,Merchant payments,TOTAL,956536,906365300.7,2022,4,andaman-&-nicobar-islands,Q4 2022
76,Peer-to-peer payments,TOTAL,768758,2961630585,2022,4,andaman-&-nicobar-islands,Q4 2022
77,Recharge & bill payments,TOTAL,256050,110037119.7,2022,4,andaman-&-nicobar-islands,Q4 2022
78,Financial Services,TOTAL,2499,3533987.23,2022,4,andaman-&-nicobar-islands,Q4 2022
79,Others,TOTAL,3692,3107412.044,2022,4,andaman-&-nicobar-islands,Q4 2022
80,Peer-to-peer payments,TOTAL,18645926,51296299081,2019,1,tamil-nadu,Q1 2019
81,Recharge & bill payments,TOTAL,8863289,2695317015,2019,1,tamil-nadu,Q1 2019
82,Merchant payments,TOTAL,4195222,1924461189,2019,1,tamil-nadu,Q1 2019
83,Financial Services,TOTAL,193261,31217137.55,2019,1,tamil-nadu,Q1 2019
84,Others,TOTAL,377347,256742393.3,2019,1,tamil-nadu,Q1 2019
85,Peer-to-peer payments,TOTAL,16952961,57924128549,2019,2,tamil-nadu,Q2 2019
86,Recharge & bill payments,TOTAL,8414514,3280033640,2019,2,tamil-nadu,Q2 2019
87,Merchant payments,TOTAL,6296995,2690331793,2019,2,tamil-nadu,Q2 2019
88,Financial Services,TOTAL,70142,18334602.39,2019,2,tamil-nadu,Q2 2019
89,Others,TOTAL,437125,294847441.9,2019,2,tamil-nadu,Q2 2019
90,Peer-to-peer payments,TOTAL,21277636,70615331409,2019,3,tamil-nadu,Q3 2019
91,Merchant payments,TOTAL,10344027,4079315733,2019,3,tamil-nadu,Q3 2019
92,Recharge & bill payments,TOTAL,9246678,3964144354,2019,3,tamil-nadu,Q3 2019
93,Financial Services,TOTAL,88261,27213741.83,2019,3,tamil-nadu,Q3 2019
94,Others,TOTAL,453581,273599406.2,2019,3,tamil-nadu,Q3 2019
95,Peer-to-peer payments,TOTAL,28814008,91858026341,2019,4,tamil-nadu,Q4 2019
